key,enabled,identity,password,username
user-account-sponsor-17,true,"UserIdentity{name: 'Elena', surname: 'Rodríguez', email: 'elena@gmail.com'}",sponsor17,sponsor17
user-account-sponsor-18,true,"UserIdentity{name: 'Javier', surname: 'Sánchez', email: 'javier@gmail.com'}",sponsor18,sponsor18
user-account-sponsor-19,true,"UserIdentity{name: 'Ana', surname: 'Martínez', email: 'ana@gmail.com'}",sponsor19,sponsor19
user-account-sponsor-20,true,"UserIdentity{name: 'María', surname: 'García', email: 'maria@gmail.com'}",sponsor20,sponsor20
user-account-sponsor-21,true,"UserIdentity{name: 'Javier', surname: 'Sánchez', email: 'javier@gmail.com'}",sponsor21,sponsor21
user-account-sponsor-22,true,"UserIdentity{name: 'Carmen', surname: 'Fernández', email: 'carmen@gmail.com'}",sponsor22,sponsor22
user-account-sponsor-23,true,"UserIdentity{name: 'Carlos', surname: 'Rodríguez', email: 'carlos@gmail.com'}",sponsor23,sponsor23
user-account-sponsor-24,true,"UserIdentity{name: 'Lucía', surname: 'Pérez', email: 'lucia@gmail.com'}",sponsor24,sponsor24
user-account-sponsor-25,true,"UserIdentity{name: 'Miguel', surname: 'Gómez', email: 'miguel@gmail.com'}",sponsor25,sponsor25
user-account-sponsor-26,true,"UserIdentity{name: 'Ana', surname: 'Martínez', email: 'ana@gmail.com'}",sponsor26,sponsor26
user-account-sponsor-27,true,"UserIdentity{name: 'María', surname: 'García', email: 'maria@gmail.com'}",sponsor27,sponsor27
user-account-sponsor-28,true,"UserIdentity{name: 'Javier', surname: 'Sánchez', email: 'javier@gmail.com'}",sponsor28,sponsor28
user-account-sponsor-29,true,"UserIdentity{name: 'Carmen', surname: 'Fernández', email: 'carmen@gmail.com'}",sponsor29,sponsor29
user-account-client-01,true,"UserIdentity{name: 'Natalia', surname: 'Olmo', email: 'nataliaolmo@acme.com'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'María', surname: 'Carrera', email: 'mariacarrera@acme.com'}",client2,client2
user-account-developer-01,true,"UserIdentity{name: 'Isais', surname: 'Pérez', email: 'isais@acme.com'}",developer1,developer1
user-account-developer-02,true,"UserIdentity{name: 'Ángela', surname: 'García', email: 'angygarcia@acme.com'}",developer2,developer2
user-account-manager-01,true,"UserIdentity{name: 'Carmen', surname: 'García', email: 'carmen@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Francisco Jesús', surname: 'Del Valle', email: 'pacovalle@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Pepita', surname: 'Pérez', email: 'josefap@acme.com'}",manager3,manager3
user-account-manager-04,true,"UserIdentity{name: 'Fulanito', surname: 'Fulano', email: 'fulful@acme.com'}",manager4,manager4
user-account-auditor-01,true,"UserIdentity{name: 'Auditor1', surname: 'Prueba', email: 'auditor1@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Auditor2', surname: 'Prueba', email: 'auditor2@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Auditor3', surname: 'Prueba', email: 'auditor3@acme.com'}",auditor3,auditor3
user-account-auditor-04,true,"UserIdentity{name: 'Auditor4', surname: 'Prueba', email: 'auditor4@acme.com'}",auditor4,auditor4
user-account-auditor-05,true,"UserIdentity{name: 'Auditor5', surname: 'Prueba', email: 'auditor5@acme.com'}",auditor5,auditor5
user-account-auditor-06,true,"UserIdentity{name: 'Auditor6', surname: 'Prueba', email: 'auditor6@acme.com'}",auditor6,auditor6
user-account-auditor-07,true,"UserIdentity{name: 'Auditor7', surname: 'Prueba', email: 'auditor7@acme.com'}",auditor7,auditor7
user-account-auditor-08,true,"UserIdentity{name: 'Auditor8', surname: 'Prueba', email: 'auditor8@acme.com'}",auditor8,auditor8
user-account-auditor-09,true,"UserIdentity{name: 'Auditor9', surname: 'Prueba', email: 'auditor9@acme.com'}",auditor9,auditor9
user-account-auditor-10,true,"UserIdentity{name: 'Auditor10', surname: 'Prueba', email: 'auditor10@acme.com'}",auditor10,auditor10
user-account-administrator-02,true,"UserIdentity{name: 'Administrator1', surname: 'Prueba', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator2', surname: 'Prueba', email: 'administrator2@acme.com'}",administrator2,administrator2
